0,Which largest city of Salsette Island is also the largest city of India ?
1,How many more teams have rented the stadium used by Raptors 905?
2,Cleopatra V of Egypt is father to which royalty?
3,Count the number of region of AN/FSQ-7 Combat Direction Central?
4,Who has written the mary poppins musical?
5,Which countries came together to serve a greater purpose and founded South Asia Subregional Economic Cooperation?
6,"What is the hub airport of Pawan Hans, and is also the largest city of India?"
7,Which is the nearest city to Elliott Bay ?
8,Which  siler medalist of the Tennis at the 2012 Summer Olympics  Men's singles was also the  flagbearer of the Switzerland at the 2008 Summer Olympics
9,Which rivers flow into the lower manhatten?
10,"Where are the agencies headquartered at, which are under the Colorado Dept of Natural Resources?"
11,Which state's largest city is Omaha?
12,Who owns Torrey Pines Gliderport?
13,What are the houses of Parliament Security Services ?
14,What are some apes?
15,Is Pulau Ubin the largest city of Singapore?
16,Which nearest city of LoDaisKa Site is also the location of Oskar Blues Brewery ?
17,Name the nearest city to Tennie and Laura ?
18,"Which university has affiliations to Graham Holdings and Kaplan, Inc.?"
19,Did Timm Gunn guest in Sunrise (HIMYM)?
20,For how many different teams have Ontarians been drafted ?
21,in which movies have momoki kochi acted
22,Where common region are soylent and bannock sold?
23,Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics ?
24,What is the city nearest to the historic place whose architect is Joseph Dion?
25,What are the houses of the Parliament Security Services and Parliament of India ?
26,List all those whose relatives' nationality is United States.
27,Name the nearest city to David W. Brown House ?
28,How many bands are signed up with Kobalt Label Services?
29,Was Krzystof Wielicki the first person that ascended the mt everest?
30,Give me some series whose network's owning company is Warner Bros. Television?
31,What awards have been given to some screenwriters?
32,Which nearest city of Jurgens Site is the death plce of Jimmie Heuga ?
33,What is the protected area whose nearest city is Kenya?
34,Which coach of Marquette Golden Eagles men's basketball team is also the head coach  of Virginia Tech Hokies men's basketball team ?
35,Who has given guest appearances on the TV Episodes whose was music done by Mama Makes 3?
36,Was John Boehner the winner of the US House of Representatives elections in Ohio in 2010?
37,Is north america one of the destinations of airtours airways?
38,Martin AN/GSG-5 is a part of the building in which city?
39,"In which city is the building, whose part is the Martin AN/FSG1 anti aircraft system?"
40,What religions do diplomats typically follow?
41,What magazine is Marritt Cabal known for which has Lucifer Hammer as publisher ?
42,Which awards has been given to both michel hazanavicius and geoffrey rush?
43,Does the hudson river flow into the lower manhatten?
44,How many fictional characters were humans?
45,To which uni. did  sidney c patridge and cyril hume both once went?
46,What are the common sports played by jamiatu Muslim mindanao and Polytechnic University of Philippines Taguig ?
47,Is Denver the largest city of Colorado?
48,Is stephanie a female?
49,How many races has Best Mate won?
50,Is the chestnut white bellied rat a mammal?
51,What is the state whose largest city is Denver?
52,Where is Vietnam Airlines located ?
53,Which country's largest city is Lima?
54,What are some bands out to texarkana?
55,Is Ethics the main interests of Henry David Thoreau?
56,Cable stayed bridges have been used to cross over how many things?
57,Which high school of the Jerry Tagge also was the palce hwer Temptation Waits was recorded ?
58,What are some primates?
59,Whose commanders are John Mc Ewen and Park Chunghee?
60,What tv series can be said to be related to the sarah jane adventure and dr who confidential?
61,Into what military organizations is the United States Department of Defense divided?
62,How many companies have built concrete bridges?
63,Do the west coast airlines fly to seattle?
64,For which team does hunter pence play for?
65,To which country do gabriel paris gordillo and gustavo rojas pinilla owe their allegiance?
66,What newspapers's owners is Schibsted
67,Where do cherry chevapravatdumrong and daisi pollard both live?
68,Which country does league of Nguendula Filipe belongs to?
69,Is Christchurch the largest city of South Island?
70,What is the ethnicity of the people working for the Philippines house of representatives?
71,What water bodies are nearest to Helsinki city?
72,"Which headcoach of Marquette Golden Eagles men's basketball team, 2008-09 was also the coach of Marquette Golden Eagles team ?"
73,Who employed the person famous for the Boeing fa18ef Super Hornet?
74,Which leader of United States House of Representatives was the appinter of ohn Drayton ?
75,Where do the rivers from greater London flow into?
76,Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?
77,Greek writers have won which award?
78,Is morrissey in the smiths?
79,What are some causes of death of European Americans?
80,Give me some administrators of bridges over which cars can go?
81,How many awards have been given to screenwriters?
82,What shows are on the networks which are from the United States?
83,Where are Thomas Franois Burgers and Johannes Gerhardus Strijdom buried?
84,"Where does Truman McGill Hobbs, United States District Judge live?"
85,what are some famous people out of the Filipinos?
86,What are some movies written by British writers?
87,What are the largest cities in each of the destinations of TranStar Airlines?
88,What are some cars similar to luxury cars?
89,How many famous people are from the Filipinos?
90,What is the largest city of the birthplace of Pat Kirkwood?
91,List down the common sports played by PATTS College of Aeronautics and lytechnic University of the Philippines Taguig ?
92,Whose leaders are Willem-Alexander and Fredis Refunjol?
93,What have some famous Christians died of?
94,Who gave guest appearances on the show which is the next episode after the Bombshell one?
95,Whihc place of birth of the Union State is also the largest city of Union Staete ?
96,Which TV show's  opening theme is The Best of Both Worlds (song) and executive producer is Steven Peterman?
97,Which river's source mountain is Baikal Mountains and it's mouth is Lena Delta Wildlife Reserve?
98,British people have edited which movies?
99,"What is the largest city of the country to whom, the battle honours of 65th Regiment of Foot were given?"
